   , OS: Windows 11 | Browser: Microsoft Edge 122 | Resolution: 1920x1032 | Time: 27 May 2025 / 9:39:10  GMT+7

"#", "Step"                                                                                                   , "Data"                                 , "Exp Result", "XPath"                                                                           , "cssSelector"
"1", "Open website Edge"                                                                                      , "http://localhost:8081/TFEMWeb/#/login", ""          , ""                                                                                , ""
"X", "Wait complete"                                                                                          , ""                                     , ""          , ""                                                                                , ""
"2", "Enter ""vutthipp"" into ""User Name"""                                                                  , "vutthipp"                             , ""          , "//input[@id='inputEmail']"                                                       , "#inputEmail"
"3", "Enter ""******"" into ""Password"""                                                                     , "******"                               , ""          , "//input[@id='inputPassword']"                                                    , "#inputPassword"
"4", "Click on ""Sign in"""                                                                                   , ""                                     , ""          , "//button[normalize-space()='Sign in']"                                           , ".btn.btn-lg.btn-primary.btn-block.button-seaGreen"
"X", "Wait complete"                                                                                          , ""                                     , ""          , ""                                                                                , ""
"X", "Wait visible"                                                                                           , ""                                     , ""          , "//a[contains(@class, 'dropdown-toggle') and .//b[text()='Admin']]"               , ""
"5", "Click on ""Admin"""                                                                                     , ""                                     , ""          , "//a[@class='dropdown-toggle']//b[@class='ng-binding'][normalize-space()='Admin']", "body > div:nth-child(4) > div:nth-child(1) > nav:nth-child(1) > div:nth-child(1) > div:nth-child(2) > ul:nth-child(5) > li:nth-child(2) > a:nth-child(1) > b:nth-child(1)"
"6", "Click on ""Vendor Master"""                                                                             , ""                                     , ""          , "//b[normalize-space()='Vendor Master']"                                          , "body > div:nth-child(4) > div:nth-child(1) > nav:nth-child(1) > div:nth-child(1) > div:nth-child(2) > ul:nth-child(5) > li:nth-child(2) > ul:nth-child(2) > li:nth-child(12) > a:nth-child(1) > b:nth-child(1)"
